name,region
Abim,North
Adjumani,North
Agago,North
Alebtong,North
Amolatar,North
Amudat,East
Amuria,East
Amuru,North
Apac,North
Arua,North
Budaka,East
Bududa,East
Bugiri,East
Bugweri,East
Buikwe,Central
Bukedea,East
Bukomansimbi,Central
Bukwo,East
Bulambuli,East
Buliisa,West
Bundibugyo,West
Bunyangabu,West
Bushenyi,West
Busia,East
Butaleja,East
Butambala,Central
Butebo,East
Buvuma,Central
Buyende,East
Dokolo,North
Gomba,Central
Gulu,North
Hoima,West
Ibanda,West
Iganga,East
Isingiro,West
Jinja,East
Kaabong,North
Kabale,West
Kabarole,West
Kaberamaido,East
Kagadi,West
Kagwara,West
Kalaki,East
Kalangala,Central
Kaliro,East
Kalungu,Central
Kampala,Central
Kamuli,East
Kamwenge,West
Kanungu,West
Kapchorwa,East
Kapelebyong,East
Kasese,West
Katakwi,East
Katerera,West
Kayunga,Central
Kibaale,West
Kiboga,Central
Kibuku,East
Kiruhura,West
Kiryandongo,West
Kisoro,West
Kitagwenda,West
Kitgum,North
Koboko,West
Kole,North
Kotido,North
Kumi,East
Kwania,East
Kween,East
Kyankwanzi,Central
Kyegegwa,West
Kyenjojo,West
Kyotera,Central
Lamwo,North
Lira,North
Luuka,East
Luwero,Central
Lwengo,Central
Lyantonde,Central
Manafwa,East
Maracha,West
Masaka,Central
Masindi,West
Mayuge,East
Mbale,East
Mbarara,West
Mitooma,West
Mityana,Central
Moroto,North
Moyo,North
Mpigi,Central
Mubende,Central
Mukono,Central
Nakapiripirit,North
Nakaseke,Central
Nakasongola,Central
Namayingo,East
Namisindwa,East
Namutumba,East
Napak,North
Nebbi,West
Ngora,East
Ntoroko,West
Ntungamo,West
Nwoya,North
Otuke,North
Oyam,North
Pader,North
Pallisa,East
Rakai,Central
Rubanda,West
Rubirizi,West
Rukiga,West
Rukungiri,West
Sembabule,Central
Serere,East
Sheema,West
Sironko,East
Soroti,East
Tororo,East
Wakiso,Central
Yumbe,West
Zombo,West
